stratum_bmv2 -device_id=1 -chassis_config_file=/tmp/spine1/chassis-config.txt -forwarding_pipeline_configs_file=/tmp/spine1/pipe.txt -persistent_config_dir=/tmp/spine1 -initial_pipeline=/root/dummy.json -cpu_port=255 -external_stratum_urls=0.0.0.0:50003 -local_stratum_url=localhost:43225 -max_num_controllers_per_node=10 -write_req_log_file=/tmp/spine1/write-reqs.txt -logtosyslog=false -logtostderr=true -bmv2_log_level=warn

--------------------------------------------------------------------------------

E1020 21:58:23.572417   146 main.cc:121] Starting bmv2 simple_switch and waiting for P4 pipeline
W1020 21:58:23.607443   146 credentials_manager.cc:45] Using insecure server credentials
I1020 21:58:23.618199   146 timer_daemon.cc:90] The timer daemon has been started.
I1020 21:58:23.618357   146 hal.cc:128] Setting up HAL in COLDBOOT mode...
I1020 21:58:23.618444   146 config_monitoring_service.cc:90] Pushing the saved chassis config read from /tmp/spine1/chassis-config.txt...
I1020 21:58:23.626188   146 bmv2_chassis_manager.cc:476] Registered port status callbacks successfully for node 1.
I1020 21:58:23.628463   146 bmv2_chassis_manager.cc:61] Adding port 1 to node 1
I1020 21:58:23.656612   146 bmv2_chassis_manager.cc:61] Adding port 2 to node 1
I1020 21:58:23.701794   146 p4_service.cc:119] Pushing the saved forwarding pipeline configs read from /tmp/spine1/pipe.txt...
E1020 21:58:23.703675   146 utils.cc:109] StratumErrorSpace::ERR_FILE_NOT_FOUND: /tmp/spine1/pipe.txt not found.
E1020 21:58:23.704412   146 utils.cc:65] Return Error: ReadFileToString(filename, &text) failed with StratumErrorSpace::ERR_FILE_NOT_FOUND: /tmp/spine1/pipe.txt not found.
W1020 21:58:23.704435   146 p4_service.cc:128] No saved forwarding pipeline config found at /tmp/spine1/pipe.txt. This is normal when the switch is just installed and no master controller is connected yet.
E1020 21:58:23.725228934     146 server_chttp2.cc:40]        {"created":"@1697839103.725173310","description":"Only 1 addresses added out of total 2 resolved","file":"external/com_github_grpc_grpc/src/core/ext/transport/chttp2/server/chttp2_server.cc","file_line":406,"referenced_errors":[{"created":"@1697839103.725169727","description":"Address family not supported by protocol","errno":97,"file":"external/com_github_grpc_grpc/src/core/lib/iomgr/socket_utils_common_posix.cc","file_line":420,"os_error":"Address family not supported by protocol","syscall":"socket","target_address":"[::1]:43225"}]}
E1020 21:58:23.731148   146 hal.cc:223] Stratum external facing services are listening to 0.0.0.0:50003, localhost:43225...
I1020 21:58:23.824060   214 bmv2_chassis_manager.cc:409] State of port 1 in node 1: UP.
I1020 21:58:23.824203   214 bmv2_chassis_manager.cc:409] State of port 2 in node 1: UP.
I1020 22:01:01.719451   222 p4_service.cc:696] Controller (connection_id: 1, election_id: 20, uri: ipv4:172.25.0.3:42596) is connected as MASTER for node (aka device) with ID 1.
I1020 22:01:01.723805   222 p4_service.cc:696] Controller (connection_id: 1, election_id: 40, uri: ipv4:172.25.0.3:42596) is connected as MASTER for node (aka device) with ID 1.
I1020 22:01:02.323592   238 bmv2_switch.cc:74] P4-based forwarding pipeline config pushed successfully to node with ID 1.
E1020 22:01:02.507767   238 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.510704   238 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.515457   238 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.515655   238 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.516420   238 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.516956   238 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.517037   238 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.519399   238 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.519496   238 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.519641   238 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
I1020 22:01:02.990545   222 p4_service.cc:696] Controller (connection_id: 1, election_id: 40, uri: ipv4:172.25.0.3:42596) is connected as MASTER for node (aka device) with ID 1.
I1020 22:01:03.584319   245 config_monitoring_service.cc:377] Initial Subscribe request from ipv4:172.25.0.3:42598 over stream 0x7f06de7fb510.
I1023 15:25:42.522074   245 config_monitoring_service.cc:569] Subscribe stream 0x7f06de7fb510 from ipv4:172.25.0.3:42598 has been closed.
I1023 15:25:42.543656   222 p4_service.cc:723] Controller (connection_id: 1, election_id: 40, uri: ipv4:172.25.0.3:42596) which was MASTER for node (aka device) with ID 1 is disconnected. The node is now orphan :(
